"Gene","Fold_Change"
"ILMN_1652412",2.34508145575887
"ILMN_1652417",1.67198142773404
"ILMN_1652431",89.6411916342007
"ILMN_1652434",1.95494744610999
"ILMN_1652459",1.56731294228484
"ILMN_1652486",1.68876429799896
"ILMN_1652487",1.34153021648685
"ILMN_1652505",2.04549735971891
"ILMN_1652512",2.1004456366547
"ILMN_1652521",1.81012263946742
"ILMN_1652525",2.06742558817967
"ILMN_1652533",2.97286270773628
"ILMN_1652540",1.36007364957482
"ILMN_1652580",2.09508505459405
"ILMN_1652594",1.81918062019425
"ILMN_1652631",2.66492261997247
"ILMN_1652638",1.38649187460665
"ILMN_1652647",1.57327098111273
"ILMN_1652650",2.37388528059549
"ILMN_1652660",2.0354965924029
"ILMN_1652677",2.56183677143124
"ILMN_1652680",1.94934602138122
"ILMN_1652716",1.99291084197149
"ILMN_1652722",2.07770581274942
"ILMN_1652735",1.29887033725713
"ILMN_1652736",1.98792437994905
"ILMN_1652749",1.66892636684303
"ILMN_1652753",1.97293809766148
"ILMN_1652754",1.86088635955669
"ILMN_1652762",2.61973337067459
"ILMN_1652768",1.82076418483557
"ILMN_1652787",2.75996239086635
"ILMN_1652790",1.62192289828147
"ILMN_1652806",1.34061277544557
"ILMN_1652825",1.88454086550243
"ILMN_1652846",2.04809714599957
"ILMN_1652906",2.83531972433484
"ILMN_1652907",1.37028191312606
"ILMN_1652913",1.74869126783027
"ILMN_1652918",1.46576316893072
"ILMN_1652929",1.76357246805076
"ILMN_1652955",1.7491865178069
"ILMN_1652989",1.74780438058418
"ILMN_1653026",5.51248382986587
"ILMN_1653039",4.34751426467248
"ILMN_1653047",1.63557349885108
"ILMN_1653115",2.4436051985897
"ILMN_1653125",1.54585027337726
"ILMN_1653129",1.5456218965726
"ILMN_1653134",1.93860860143649
"ILMN_1653143",1.44323712771354
"ILMN_1653163",1.57827275579259
"ILMN_1653165",1.60585908203323
"ILMN_1653180",1.95844617969754
"ILMN_1653185",1.74689126456551
"ILMN_1653203",1.69720011397835
"ILMN_1653205",1.90082503644428
"ILMN_1653220",1.82823114247905
"ILMN_1653228",1.81420803615564
"ILMN_1653266",2.62250486731924
"ILMN_1653292",4.96082657765061
"ILMN_1653319",2.60684171143301
"ILMN_1653342",1.64510322989637
"ILMN_1653367",1.87799767387476
"ILMN_1653404",2.32831293231145
"ILMN_1653412",2.90117920720638
"ILMN_1653429",1.87244305293631
"ILMN_1653432",2.23621156320717
"ILMN_1653438",2.28504060780718
"ILMN_1653466",8.68663779274944
"ILMN_1653469",1.94707993613884
"ILMN_1653496",1.62976281531712
"ILMN_1653498",4.88831323254629
"ILMN_1653504",2.22173849358766
"ILMN_1653514",2.08697218161402
"ILMN_1653529",2.18036832763704
"ILMN_1653553",2.37523638703137
"ILMN_1653599",1.7201582995246
"ILMN_1653601",1.42729595827901
"ILMN_1653612",1.39401251324409
"ILMN_1653613",1.37180159816703
"ILMN_1653618",1.47390711216989
"ILMN_1653622",1.58297675574205
"ILMN_1653652",2.27759214735093
"ILMN_1653708",2.88068780874984
"ILMN_1653709",1.50075736635524
"ILMN_1653712",2.83723540371277
"ILMN_1653718",1.98816001494594
"ILMN_1653738",1.48185692219492
"ILMN_1653771",1.43158621919151
"ILMN_1653793",2.17319313150652
"ILMN_1653794",2.73123637037844
"ILMN_1653797",1.66809066069799
"ILMN_1653814",2.05590944887394
"ILMN_1653828",1.50251236606152
"ILMN_1653856",1.83248821279246
"ILMN_1653861",1.55157242121964
"ILMN_1653871",4.42161777280486
"ILMN_1653876",1.63558030402289
"ILMN_1653896",2.61194581455843
"ILMN_1654001",3.39627672638219
"ILMN_1654016",2.2755606653853
"ILMN_1654032",1.65073774498911
"ILMN_1654060",1.50684025547032
"ILMN_1654068",1.36154547180558
"ILMN_1654099",1.73563454156533
"ILMN_1654112",1.58825495040211
"ILMN_1654118",8.07910375227003
"ILMN_1654141",1.89265926443925
"ILMN_1654151",1.64055474798012
"ILMN_1654195",1.95683734328255
"ILMN_1654210",2.75876146191823
"ILMN_1654250",1.48248348764201
"ILMN_1654262",2.00093566074752
"ILMN_1654268",2.35711331561921
"ILMN_1654287",2.12902700754537
"ILMN_1654289",1.68374486469228
"ILMN_1654313",2.3207198978747
"ILMN_1654318",1.676020860834
"ILMN_1654319",3.00974817606371
"ILMN_1654320",3.27597352380121
"ILMN_1654322",1.98857699477963
"ILMN_1654357",1.7026595279993
"ILMN_1654370",1.59948024000829
"ILMN_1654389",4.0364716146898
"ILMN_1654392",1.97093158506926
"ILMN_1654396",1.97409317487969
"ILMN_1654398",3.66750649275044
"ILMN_1654414",1.39794314356472
"ILMN_1654421",1.47362901427757
"ILMN_1654441",2.14874305997259
"ILMN_1654445",1.72527059769556
"ILMN_1654457",2.02255966719558
"ILMN_1654488",1.80814882793745
"ILMN_1654493",1.58303191449856
"ILMN_1654497",1.74611347819406
"ILMN_1654504",6.50326413084746
"ILMN_1654516",1.81327537244822
"ILMN_1654518",2.55488295467607
"ILMN_1654542",1.97744964008705
"ILMN_1654543",1.64663138724177
"ILMN_1654545",2.19060799525888
"ILMN_1654552",2.40342012676864
"ILMN_1654560",3.7154883207268
"ILMN_1654566",2.2952826148003
"ILMN_1654571",1.85963208502666
"ILMN_1654583",2.18898761289174
"ILMN_1654586",1.92434380748282
"ILMN_1654602",1.37258928182728
"ILMN_1654609",1.78864125570981
"ILMN_1654612",2.51083737764251
"ILMN_1654629",2.92475253464515
"ILMN_1654630",1.91395075218478
"ILMN_1654639",4.87918955497174
"ILMN_1654653",1.47579366515837
"ILMN_1654685",2.94592916673988
"ILMN_1654689",1.61482062033427
"ILMN_1654690",2.15003509096658
"ILMN_1654691",1.68840636489663
"ILMN_1654692",4.12144715822893
"ILMN_1654696",2.32352916224814
"ILMN_1654735",2.4681207503588
"ILMN_1654773",1.60853072515412
"ILMN_1654778",1.60431076915106
"ILMN_1654819",1.57549135127492
"ILMN_1654851",1.54010785893528
"ILMN_1654861",1.69486456872999
"ILMN_1654866",1.49044132985011
"ILMN_1654890",1.39090900962923
"ILMN_1654893",1.82394100641053
"ILMN_1654915",2.26101349769412
"ILMN_1654920",1.25852761409801
"ILMN_1654939",1.42199208301056
"ILMN_1654946",2.59024050854055
"ILMN_1655011",1.72811255988643
"ILMN_1655046",2.08021159916826
"ILMN_1655068",2.0193782450957
"ILMN_1655077",4.38745868896744
"ILMN_1655093",1.42195689217765
"ILMN_1655117",1.80530807205983
"ILMN_1655126",1.90841642969046
"ILMN_1655137",1.83221317442313
"ILMN_1655154",1.65621217892492
"ILMN_1655163",1.60618196611683
"ILMN_1655165",3.82038133107277
"ILMN_1655177",1.57952997553203
"ILMN_1655190",1.58352910166225
"ILMN_1655191",2.82524142650749
"ILMN_1655194",1.46931478896878
"ILMN_1655195",1.88485615066724
"ILMN_1655206",2.30536032429661
"ILMN_1655225",2.40255477819262
"ILMN_1655244",1.54152161463305
"ILMN_1655261",2.42002418970051
"ILMN_1655296",2.22486144101346
"ILMN_1655307",1.61497816719059
"ILMN_1655311",1.88050131259388
"ILMN_1655312",1.56200089281286
"ILMN_1655316",1.38204619481608
"ILMN_1655329",1.74148943590629
"ILMN_1655340",2.79078492369725
"ILMN_1655377",1.29327750202693
"ILMN_1655414",1.48357729487007
"ILMN_1655418",2.37307079165426
"ILMN_1655422",2.18843146885241
"ILMN_1655429",1.37128877612554
"ILMN_1655433",1.47924513911399
"ILMN_1655444",2.23246496755384
"ILMN_1655469",1.88520282598156
"ILMN_1655485",1.8307962888862
"ILMN_1655497",2.17660355946578
"ILMN_1655549",6.73019613182526
"ILMN_1655557",2.37171418889481
"ILMN_1655561",1.86817244357446
"ILMN_1655563",1.68091172984764
"ILMN_1655572",2.81886496810562
"ILMN_1655577",1.49289107828573
"ILMN_1655595",3.82537257953978
"ILMN_1655608",2.02727389595188
"ILMN_1655611",3.34046110946079
"ILMN_1655612",1.76408803411465
"ILMN_1655622",1.52069812877486
"ILMN_1655635",2.7263965875134
"ILMN_1655642",2.57618991930768
"ILMN_1655645",1.81287519346128
"ILMN_1655654",1.75252191371627
"ILMN_1655684",2.0268766319314
"ILMN_1655694",2.03269324936308
"ILMN_1655702",2.68811847439051
"ILMN_1655710",2.22790481240599
"ILMN_1655720",1.59647309319975
"ILMN_1655733",1.81647540288707
"ILMN_1655734",1.48805723566308
"ILMN_1655765",1.72782898546189
"ILMN_1655780",1.30210311768702
"ILMN_1655796",1.89479395175243
"ILMN_1655821",2.4390684642248
"ILMN_1655827",2.42228942942166
"ILMN_1655864",3.1133550277718
"ILMN_1655867",4.35136728677442
"ILMN_1655868",1.58062443581367
"ILMN_1655871",1.91073384643564
"ILMN_1655876",1.45418730399993
"ILMN_1655884",2.13876961783922
"ILMN_1655913",2.2735959633124
"ILMN_1655921",2.4626284126615
"ILMN_1655922",2.34124353411482
"ILMN_1655924",1.72934819346216
"ILMN_1655930",2.09903259163144
"ILMN_1655935",2.33266460939635
"ILMN_1655952",1.95989676345506
"ILMN_1655961",2.09888591012648
"ILMN_1655974",1.51146423350157
"ILMN_1655983",4.57669507918482
"ILMN_1655987",3.87928093344664
"ILMN_1655990",3.34187945382194
"ILMN_1656011",3.33374509693824
"ILMN_1656016",1.50165097826623
"ILMN_1656045",1.62793678756662
"ILMN_1656057",1.5981704107547
"ILMN_1656066",1.76139626757864
"ILMN_1656082",1.64911913810386
"ILMN_1656111",1.96588232797946
"ILMN_1656129",1.95168055430779
"ILMN_1656134",1.67547865025916
"ILMN_1656136",1.33294815777754
"ILMN_1656145",1.91166968662649
"ILMN_1656165",1.45279345046076
"ILMN_1656184",1.70216923978894
"ILMN_1656185",2.03098095313783
"ILMN_1656186",1.78700319554603
"ILMN_1656196",1.48252873100996
"ILMN_1656199",1.77928405806308
"ILMN_1656233",1.73161960788071
"ILMN_1656254",2.31461648155928
"ILMN_1656274",1.71323442913813
"ILMN_1656285",5.08077290866761
"ILMN_1656287",5.26446787895309
"ILMN_1656292",1.82431210725901
"ILMN_1656293",2.02291230671329
"ILMN_1656297",2.87491784374766
"ILMN_1656300",2.00044013096142
"ILMN_1656310",6.16474996536082
"ILMN_1656316",2.02993156969974
"ILMN_1656335",1.92349380100861
"ILMN_1656361",3.68859532970885
"ILMN_1656372",2.05320876170369
"ILMN_1656378",1.89468772408966
"ILMN_1656386",2.18484367959401
"ILMN_1656393",3.68676228525662
"ILMN_1656399",1.63081693586573
"ILMN_1656404",1.43394926725103
"ILMN_1656413",1.77993799879043
"ILMN_1656420",2.39989356308365
"ILMN_1656427",1.72523938873402
"ILMN_1656463",2.10095043344628
"ILMN_1656477",1.50534665142134
"ILMN_1656482",1.82719352127247
"ILMN_1656486",1.77772096126213
"ILMN_1656501",2.3752823850106
"ILMN_1656537",1.78124008178399
"ILMN_1656540",2.11033321562546
"ILMN_1656560",2.89760707306916
"ILMN_1656574",1.54347648326074
"ILMN_1656621",2.01742075973869
"ILMN_1656625",1.45646240733568
"ILMN_1656628",1.88493006070203
"ILMN_1656656",2.27403702665304
"ILMN_1656662",1.40172001962081
"ILMN_1656670",2.24189873554406
"ILMN_1656676",2.3398136219906
"ILMN_1656678",1.67053520881418
"ILMN_1656682",1.5453577611525
"ILMN_1656691",2.0055028888587
"ILMN_1656718",1.72156996955887
"ILMN_1656791",1.78211873368005
"ILMN_1656807",1.66262332044688
"ILMN_1656822",1.51677513651966
"ILMN_1656840",1.90920448932478
"ILMN_1656868",2.25191826881628
"ILMN_1656900",3.25716798730927
"ILMN_1656902",2.33162944022517
"ILMN_1656904",1.85521116096984
"ILMN_1656913",1.51508454245198
"ILMN_1656920",1.73184632378194
"ILMN_1656934",2.65636131198095
"ILMN_1656938",5.11120693426323
"ILMN_1656940",3.31183603524174
"ILMN_1656962",1.51128300105313
"ILMN_1656977",1.60591545357636
"ILMN_1657011",2.35704703510144
"ILMN_1657064",1.57859595699082
"ILMN_1657095",1.8250713425892
"ILMN_1657129",4.08611841778748
"ILMN_1657139",1.90457956407757
"ILMN_1657144",1.3972640436586
"ILMN_1657153",3.69475343875258
"ILMN_1657204",1.80110074292684
"ILMN_1657248",2.31936306992385
"ILMN_1657283",1.37811793955122
"ILMN_1657288",1.47576836019996
"ILMN_1657317",1.88000903930926
"ILMN_1657332",1.65175841488978
"ILMN_1657348",1.58313100284381
"ILMN_1657361",3.16884678044383
"ILMN_1657395",2.08255272339767
"ILMN_1657398",5.4289174248441
"ILMN_1657405",1.51911938950526
"ILMN_1657423",2.81842060667683
"ILMN_1657436",1.72140211938737
"ILMN_1657446",2.04493403211982
"ILMN_1657451",1.56433700405095
"ILMN_1657470",1.69702820757065
"ILMN_1657475",1.85421043299789
"ILMN_1657478",1.6871675456019
"ILMN_1657483",2.51164238150861
"ILMN_1657495",2.0143002814706
"ILMN_1657509",3.17978542227377
"ILMN_1657515",1.85917506219333
