"","GSM1230902","GSM1230903","GSM1230905","GSM1230906","GSM1230907","GSM1230908","GSM1230909","GSM1230910","GSM1230911","GSM1230912","GSM1230913","GSM1230914","GSM1230915","GSM1230916","GSM1230917","GSM1230918","GSM1230919","GSM1230920","GSM1230921","GSM1230922","GSM1230923","GSM1230924","GSM1230925","GSM1230926","GSM1230927","GSM1230928","GSM1230929","GSM1230930","GSM1230931","GSM1230932","GSM1230933","GSM1230934","GSM1230935","GSM1230936","GSM1230937","GSM1230938","GSM1230939","GSM1230940","GSM1230941","GSM1230942","GSM1230943","GSM1230944","GSM1230945","GSM484368","GSM484369","GSM484370","GSM484371","GSM484372","GSM484373","GSM484374","GSM484375","GSM484376","GSM484377","GSM484378","GSM484379","GSM484380","GSM484381","GSM484382","GSM484383","GSM484384","GSM484385","GSM484386","GSM484387","GSM484388","GSM484389","GSM484390","GSM484391","GSM484392","GSM484393","GSM484394","GSM484395","GSM484396","GSM484397","GSM484398","GSM484399","GSM484400"
"ILMN_1689868",616.701,485.45,632.719,550.801,470.281,568.294,516.354,401.318,501.803,565.027,555.848,634.674,458.586,489.405,491.024,660.155,526.236,542.959,492.197,520.552,591.018,561.77,742.227,635.33,644.149,594.658,529.621,441.958,466.765,545.199,574.661,526.236,574.632,566.94,641.871,511.487,519.996,461.143,574.7,591.195,648.902,833.08,657.752,77.9723,70.54454,66.57874,68.59777,58.88584,83.99669,68.89534,55.4712,58.58144,49.15359,52.15883,41.30165,56.76221,50.85679,53.61085,52.20026,51.31268,48.29583,85.91653,62.09587,54.10176,87.22558,43.58152,71.62319,74.04961,41.13403,82.36456,44.70581,50.12717,76.22427,46.61189,58.15146,66.69288
"ILMN_1690487",3926.91,3608.435,4201.44,4366.28,3701.93,3474.06,4304.72,4013.77,3814.53,3167.69,4399.59,3780.23,3289.96,3926.91,4330.77,4451.51,2490.91,2788.23,3397.03,2965.46,3720.39,3530.11,3737.92,3301.15,2802.55,3665.76,2775.47,3767.51,1798.86,3458.22,2807.7,2970.55,3247.35,2759.04,3596.24,3936.35,2530.74,2801.31,2309.59,2862.89,3534.66,3005.79,3589.94,305.3344,288.135,285.0052,341.739,260.7546,265.9302,291.7436,309.1821,235.371,323.4948,262.1165,244.204,145.9672,160.1128,327.0071,181.7754,208.5978,283.6894,173.7296,181.493,156.7556,274.7133,219.9824,186.2885,268.5563,269.0786,248.2231,163.1614,216.2547,289.4632,226.6102,225.5603,227.4681
"ILMN_1690807",374.348,252.187,317.092,373.096,288.988,384.283,328.527,286.253,291.241,254.8,263.099,402.307,232.585,360.314,315.45,339.081,309.544,283.175,289.748,355.664,492.398,412.95,234.404,382.891,265.866,269.024,247.083,220.748,203.711,240.283,190.746,227.526,213.891,400.875,370.571,282.018,216.131,237.034,184.26,227.673,277.191,290.662,244.803,6.864863,10.67998,10.1253,22.61608,11.29374,13.27454,4.378599,5.989234,-2.878732,17.07406,7.131663,5.069971,-1.886452,4.644028,7.095064,-3.989674,2.103996,4.958448,1.208066,7.494521,1.452142,9.388419,3.721156,10.71402,9.737573,8.6605,12.03906,9.832687,1.756881,5.580812,0.5573648,9.471061,7.121404
"ILMN_1692664",954.837,869.956,1166.47,1084.77,690.703,798.768,1011.86,1098.31,728.648,985.716,918.953,1314.5,565.861,739.384,785.983,1091.37,764.754,1035.29,1621.27,952.1,1005.97,813.43,841.79,790.628,1040.9,865.151,571.005,828.78,967.729,932.496,972.331,806.22,550.379,779.304,735.716,719.771,1162.04,890.646,994.993,1392.2,865.674,535.514,870.684,363.3976,195.7597,268.919,265.0587,319.7541,320.0367,255.8692,386.2612,272.7025,471.2426,176.031,527.1824,243.4935,203.518,321.7225,210.3388,361.5997,474.6154,285.3332,121.0802,323.2997,278.5576,405.513,430.876,210.4454,605.197,604.8442,345.931,556.3524,647.0521,152.7795,156.4646,239.9376
"ILMN_1694589",666.236,442.369,490.092,621.755,487.385,478.948,431.224,500.807,574.661,559.634,429.968,519.996,496.595,451.812,511.156,557.006,404.286,352.002,643.009,513.98,548.366,484.346,524.51,621.753,732.243,493.206,655.319,994.226,541.82,509.822,534.924,601.636,492.02,598.133,606.585,582.277,674.023,563.872,473.902,792.88,707.774,596.859,635.114,199.4226,163.3926,159.8509,191.9096,170.0053,139.7026,190.3858,253.5677,135.3508,205.0772,172.3984,125.9113,69.41524,78.27882,125.488,94.6779,141.9861,206.3434,129.9964,86.85125,90.34344,155.5627,91.72355,110.4245,163.3318,106.6726,146.2851,84.89874,127.8337,233.0969,143.3271,108.0312,169.8542
"ILMN_1695058",372.218,384.518,284.232,309.687,315.206,306.703,266.933,316.977,289.025,355.174,394.759,297.372,302.321,259.537,347.926,375.074,422.89,350.924,368.873,286.086,360.724,269.599,296.406,354.209,379.991,283.074,297.914,310.812,346.666,290.394,353.094,264.834,284.357,305.069,322.263,284.151,318.409,264.613,272.173,387.495,362.443,306.572,292.855,40.85041,12.28485,46.43193,55.54342,78.497,55.05021,45.60937,66.90893,127.7716,21.02121,32.57892,59.04949,157.4338,54.94526,80.89194,97.18772,52.68463,116.2021,60.14108,22.55737,108.4147,39.53304,69.73438,163.5725,42.45488,61.51828,206.1999,107.2657,55.4029,37.1455,33.19788,31.18771,54.64527
"ILMN_1696302",601.977,769.0095,414.859,641.914,581.12,575.092,442.394,646.991,563.392,1036.04,568.174,487.622,540.627,555.954,648.4,749.595,710.926,447.257,387.352,557.459,455.559,429.029,308.346,687.814,445.688,367.599,362.045,412.636,382.335,363.421,425.622,484.829,468.705,606.238,616.814,390.868,334.936,273.938,456.216,523.028,245.538,302.075,337.946,5.365959,6.082815,5.954983,4.776087,-1.801079,-0.4143318,1.239072,3.482784,2.972269,6.621352,5.405406,7.327467,3.698285,11.83578,7.293542,0.1291357,10.21408,0.4482759,8.701318,3.488096,0.4535127,-1.067614,9.592304,-0.3699296,-3.922591,5.481076,1.63792,3.574617,11.33357,3.621993,4.542025,13.64058,3.356236
"ILMN_1696383",1016.52,1165.915,999.589,927.568,935.179,645.96,951.132,999.517,1025.18,968.099,880.453,918.403,759.099,951.132,978.109,1027.79,924.412,1018.42,1007.73,970.93,962.296,942.684,650.587,894.915,1027.19,831.119,1005.56,991.329,1230.91,1028.27,1052.99,656.84,881.395,971.128,894.415,902.207,996.105,832.521,1011.45,1098.31,948.919,683.104,1153.06,26.95054,23.39965,20.26381,25.05199,26.98892,22.78538,30.76544,38.77282,7.445145,17.93286,26.17397,20.49075,40.22852,34.60711,25.79467,52.30112,40.00187,18.76481,38.35818,48.31882,44.46066,32.26982,21.48841,36.54633,53.21244,26.95602,41.67023,42.35452,32.99051,22.25165,37.94947,25.67307,45.58755
"ILMN_1696749",438.608,839.5115,793.492,716.89,1203.37,711.32,1082.93,492.1,620.429,872.334,705.941,312.77,1230.23,999.959,1271.31,233.037,679.623,952.404,1075.44,1035.66,903.652,849.057,1145.48,490.092,786.631,768.402,838.105,404.853,609.401,1041.56,758.574,759.793,811.422,684.391,545.199,1037.82,919.416,752.944,888.055,782.367,637.342,722.35,429.144,35.81031,40.97253,46.97266,62.65667,66.99858,141.918,38.62337,24.89362,69.17064,57.08011,62.89293,48.23331,56.95261,50.91357,32.2553,49.67729,49.97659,49.37638,33.31522,27.95663,50.85281,23.00032,45.51467,50.93744,33.60443,54.18708,39.19374,45.40005,84.86866,53.03825,26.41256,37.67061,47.4668
"ILMN_1697220",417.961,291.7465,294.31,289.962,192.147,471.79,306.074,239.681,238.452,282.856,210.382,190.512,455.175,296.49,376.496,223.837,164.24,224.011,262.643,302.367,392.453,316.42,184.235,274.563,253.166,168.652,240.095,164.443,156.328,197.376,207.547,187.078,192.498,309.318,493.206,269.96,200.034,170.425,384.508,191.898,322.739,499.93,171.093,27.14628,26.89164,30.03628,36.86582,40.46415,37.38592,10.24389,22.0325,26.50682,12.84443,22.73317,20.30715,15.88323,15.83301,29.84581,15.79088,9.910283,24.61972,23.45763,11.25527,6.816776,17.63978,13.03345,17.40333,32.36253,25.78894,5.875387,5.284199,18.2689,10.15012,27.13904,33.34014,36.47883
