"","ID","Symbol"
"ILMN_2134555","ILMN_2134555","KCTD3"
"ILMN_2134974","ILMN_2134974","RAB38"
"ILMN_2143795","ILMN_2143795","MGC4677"
"ILMN_2144088","ILMN_2144088","FDFT1"
"ILMN_2148459","ILMN_2148459","B2M"
"ILMN_2153280","ILMN_2153280","KIAA0090"
"ILMN_2156953","ILMN_2156953","ZFAND6"
"ILMN_2157951","ILMN_2157951","STX6"
"ILMN_2167416","ILMN_2167416","MR1"
"ILMN_2174296","ILMN_2174296","DNAJC2"
"ILMN_2185845","ILMN_2185845","BRSK1"
"ILMN_2185884","ILMN_2185884","DHRS4"
"ILMN_2201580","ILMN_2201580","GSTM2"
"ILMN_2208373","ILMN_2208373","TMEM164"
"ILMN_2221006","ILMN_2221006","RAD21"
"ILMN_2227011","ILMN_2227011","ACSBG1"
"ILMN_2228180","ILMN_2228180","MSRA"
"ILMN_2246661","ILMN_2246661","FAHD1"
"ILMN_2254583","ILMN_2254583","SNX14"
"ILMN_2262901","ILMN_2262901","RUFY3"
"ILMN_2301955","ILMN_2301955","THAP1"
"ILMN_2327812","ILMN_2327812","IL5RA"
"ILMN_2329679","ILMN_2329679","TPST2"
"ILMN_2330267","ILMN_2330267","ABCE1"
"ILMN_2331231","ILMN_2331231","TNFRSF6B"
"ILMN_2332267","ILMN_2332267","CSNK1G3"
"ILMN_2334765","ILMN_2334765","ARMCX3"
"ILMN_2341467","ILMN_2341467","PARL"
"ILMN_2341487","ILMN_2341487","C11orf49"
"ILMN_2344455","ILMN_2344455","G3BP1"
"ILMN_2344850","ILMN_2344850","VPS26A"
"ILMN_2352609","ILMN_2352609","OGG1"
"ILMN_2356559","ILMN_2356559","WTAP"
"ILMN_2369785","ILMN_2369785","SNRPD2"
"ILMN_2376723","ILMN_2376723","CDKN2B"
"ILMN_2387791","ILMN_2387791","MALT1"
"ILMN_2388142","ILMN_2388142","CD99L2"
"ILMN_2391551","ILMN_2391551","C13orf23"
"ILMN_2393296","ILMN_2393296","GK"
"ILMN_2394193","ILMN_2394193","C14orf138"
"ILMN_2394264","ILMN_2394264","UBTF"
"ILMN_2399489","ILMN_2399489","CBFB"
"ILMN_2403458","ILMN_2403458","SMARCB1"
"ILMN_2403994","ILMN_2403994","RALY"
"ILMN_2413064","ILMN_2413064","ST6GALNAC4"
"ILMN_2414366","ILMN_2414366","KAT5"
"ILMN_2415170","ILMN_2415170","VPS8"
"ILMN_3178258","ILMN_3178258","FABP5L2"
"ILMN_3211935","ILMN_3211935","LOC100132715"
"ILMN_3226904","ILMN_3226904","NOP2"
"ILMN_3235593","ILMN_3235593","ZNF841"
"ILMN_3235642","ILMN_3235642","LOC731751"
"ILMN_3244240","ILMN_3244240","LOC646476"
"ILMN_3246608","ILMN_3246608","CENPV"
"ILMN_3247781","ILMN_3247781","LOC100132324"
"ILMN_3251217","ILMN_3251217","PDXDC2"
"ILMN_3264466","ILMN_3264466","FAM54B"
"ILMN_3268083","ILMN_3268083","LOC100128689"
"ILMN_3273854","ILMN_3273854","HNRNPA2B1"
"ILMN_3276861","ILMN_3276861","LOC441013"
"ILMN_3286809","ILMN_3286809","LOC100131139"
"ILMN_3289262","ILMN_3289262","LOC100131261"
"ILMN_3294106","ILMN_3294106","LOC100190938"
"ILMN_3300198","ILMN_3300198","LOC729580"
"ILMN_3301440","ILMN_3301440","LOC730004"
"ILMN_3306482","ILMN_3306482","LOC730107"
"ILMN_3310326","ILMN_3310326","MIR221"
